FID,id,The_geom,stop_id,nome_parad,lat,long,fonte,ano_ref,epsg_codif
vw_PontosdeOnibus.fid-5b41923a_19c3ec54e70_303,1,POINT (-38.590602 -3.702286),10,"AVENIDA CEL CARVALHO, 1135",-3.702286,-38.590602,ETUFOR,2022,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_PontosdeOnibus.fid-5b41923a_19c3ec54e70_304,2,POINT (-38.528991 -3.722157),1000,"RUA DOR JOAO MOREIRA, 489",-3.722157,-38.528991,ETUFOR,2022,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_PontosdeOnibus.fid-5b41923a_19c3ec54e70_305,3,POINT (-38.526007 -3.723169),1001,"RUA DOR JOAO MOREIRA, 163",-3.723169,-38.526007,ETUFOR,2022,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_PontosdeOnibus.fid-5b41923a_19c3ec54e70_306,4,POINT (-38.532847 -3.725926),1009,"AVENIDA TRISTÃO GONÇALVES, 500",-3.725926,-38.532847,ETUFOR,2022,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_PontosdeOnibus.fid-5b41923a_19c3ec54e70_307,5,POINT (-38.534206 -3.726137),1010,"AVENIDA IMPERADOR, 550",-3.726137,-38.534206,ETUFOR,2022,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_PontosdeOnibus.fid-5b41923a_19c3ec54e70_308,6,POINT (-38.533477 -3.72369),1013,"AVENIDA IMPERADOR, 262",-3.72369,-38.533477,ETUFOR,2022,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_PontosdeOnibus.fid-5b41923a_19c3ec54e70_309,7,POINT (-38.534034 -3.723879),1014,"RUA SAO PAULO, 955",-3.723879,-38.534034,ETUFOR,2022,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_PontosdeOnibus.fid-5b41923a_19c3ec54e70_30a,8,POINT (-38.535467 -3.724543),1015,"RUA GUILHERME ROCHA, 1048",-3.724543,-38.535467,ETUFOR,2022,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_PontosdeOnibus.fid-5b41923a_19c3ec54e70_30b,9,POINT (-38.530776 -3.72682),1016,"RUA GAL SAMPAIO, 951",-3.72682,-38.530776,ETUFOR,2022,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_PontosdeOnibus.fid-5b41923a_19c3ec54e70_30c,10,POINT (-38.600778 -3.71436),102,"RUA BETA, 202",-3.71436,-38.600778,ETUFOR,2022,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_PontosdeOnibus.fid-5b41923a_19c3ec54e70_30d,11,POINT (-38.529181 -3.723266),1025,"RUA CASTRO E SILVA, 409",-3.723266,-38.529181,ETUFOR,2022,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_PontosdeOnibus.fid-5b41923a_19c3ec54e70_30e,12,POINT (-38.532204 -3.723792),1029,"AVENIDA TRISTAO GONCALVES, 211",-3.723792,-38.532204,ETUFOR,2022,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_PontosdeOnibus.fid-5b41923a_19c3ec54e70_30f,13,POINT (-38.597229 -3.709547),103,"RUA DOR QUIXADA FELICIO, 441",-3.709547,-38.597229,ETUFOR,2022,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
