stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,geometry,index_right,bairro
10,,"AVENIDA CEL CARVALHO, 1135",,-3.702286,-38.590602,,,0,,,,POINT (-38.590602 -3.702286),59.0,BARRA DO CEARÁ
1000,,"RUA DOR JOAO MOREIRA, 489",,-3.722157,-38.528991,,,0,,,,POINT (-38.528991 -3.722157),24.0,CENTRO
1001,,"RUA DOR JOAO MOREIRA, 163",,-3.723169,-38.526007,,,0,,,,POINT (-38.526007 -3.723169),24.0,CENTRO
1010,,"AVENIDA IMPERADOR, 550",,-3.726137,-38.534206,,,0,,,,POINT (-38.534206 -3.726137),24.0,CENTRO
1013,,"AVENIDA IMPERADOR, 262",,-3.72369,-38.533477,,,0,,,,POINT (-38.533477 -3.72369),24.0,CENTRO
1014,,"RUA SAO PAULO, 955",,-3.723879,-38.534034,,,0,,,,POINT (-38.534034 -3.723879),24.0,CENTRO
1015,,"RUA GUILHERME ROCHA, 1048",,-3.724543,-38.535467,,,0,,,,POINT (-38.535467 -3.724543),24.0,CENTRO
102,,"RUA BETA, 202",,-3.71436,-38.600778,,,0,,,,POINT (-38.600778 -3.71436),86.0,VILA VELHA
1025,,"RUA CASTRO E SILVA, 409",,-3.723266,-38.529181,,,0,,,,POINT (-38.529181 -3.723266),24.0,CENTRO
1029,,"AVENIDA TRISTAO GONCALVES, 211",,-3.723792,-38.532204,,,0,,,,POINT (-38.532204 -3.723792),24.0,CENTRO
103,,"RUA DOR QUIXADA FELICIO, 441",,-3.709547,-38.597229,,,0,,,,POINT (-38.597229 -3.709547),86.0,VILA VELHA
1030,,"RUA CASTRO E SILVA, 181",,-3.723972,-38.527042,,,0,,,,POINT (-38.527042 -3.723972),24.0,CENTRO
1032,,"RUA CASTRO E SILVA, 38",,-3.724408,-38.525696,,,0,,,,POINT (-38.525696 -3.724408),24.0,CENTRO
1033,,"RUA SENA MADUREIRA, 761",,-3.725933,-38.525604,,,0,,,,POINT (-38.525604 -3.725933),24.0,CENTRO
1037,,"RUA DES GEMINIANO JUREMA, 85",,-3.768659,-38.438854,,,0,,,,POINT (-38.438854 -3.768659),73.0,PRAIA DO FUTURO II
1038,,"RUA MIRTES CORDEIRO, 3720",,-3.781905,-38.622155,,,0,,,,POINT (-38.622155 -3.781905),91.0,GRANJA LISBOA
1043,,"AVENIDA H CJ CEARA, 3437",,-3.77688,-38.620167,,,0,,,,POINT (-38.620167 -3.77688),47.0,CONJUNTO CEARÁ II
1044,,"AVENIDA H CJ CEARA, 3439",,-3.776907,-38.620458,,,0,,,,POINT (-38.620458 -3.776907),47.0,CONJUNTO CEARÁ II
1045,,"AVENIDA J CJ CEARA, 291",,-3.776393,-38.621114,,,0,,,,POINT (-38.621114 -3.776393),47.0,CONJUNTO CEARÁ II
1046,,"AVENIDA J CJ CEARA, 1015",,-3.776785,-38.621323,,,0,,,,POINT (-38.621323 -3.776785),47.0,CONJUNTO CEARÁ II
1047,,"AVENIDA J CJ CEARA, 1015",,-3.775592,-38.62069,,,0,,,,POINT (-38.62069 -3.775592),47.0,CONJUNTO CEARÁ II
1048,,"AVENIDA J CJ CEARA, 2898",,-3.773589,-38.619656,,,0,,,,POINT (-38.619656 -3.773589),47.0,CONJUNTO CEARÁ II
1049,,"AVENIDA H CJ CEARA, 2285",,-3.776681,-38.6181,,,0,,,,POINT (-38.6181 -3.776681),47.0,CONJUNTO CEARÁ II
1050,,"AVENIDA H CJ CEARA, 2280 B",,-3.776688,-38.618163,,,0,,,,POINT (-38.618163 -3.776688),47.0,CONJUNTO CEARÁ II
1052,,"AVENIDA H CJ CEARA, 1991 A",,-3.776489,-38.616184,,,0,,,,POINT (-38.616184 -3.776489),47.0,CONJUNTO CEARÁ II
1053,,"AVENIDA H CJ CEARA, 1992",,-3.776471,-38.616026,,,0,,,,POINT (-38.616026 -3.776471),47.0,CONJUNTO CEARÁ II
1054,,"AVENIDA C CJ CEARA, 2104",,-3.776336,-38.616402,,,0,,,,POINT (-38.616402 -3.776336),47.0,CONJUNTO CEARÁ II
1055,,"AVENIDA C CJ CEARA, 1799",,-3.774291,-38.615799,,,0,,,,POINT (-38.615799 -3.774291),47.0,CONJUNTO CEARÁ II
1056,,"AVENIDA C CJ CEARA, 1799",,-3.774166,-38.615762,,,0,,,,POINT (-38.615762 -3.774166),47.0,CONJUNTO CEARÁ II
1057,,"AVENIDA H CJ CEARA, 1802",,-3.776331,-38.614678,,,0,,,,POINT (-38.614678 -3.776331),47.0,CONJUNTO CEARÁ II
1058,,"AVENIDA SOUSA CARVALHO, 3619",,-3.776277,-38.614124,,,0,,,,POINT (-38.614124 -3.776277),47.0,CONJUNTO CEARÁ II
106,,"RUA BENU MARCONDES, 600",,-3.711873,-38.599268,,,0,,,,POINT (-38.599268 -3.711873),86.0,VILA VELHA
1060,,"AVENIDA H CJ CEARA, 1610",,-3.776121,-38.612759,,,0,,,,POINT (-38.612759 -3.776121),47.0,CONJUNTO CEARÁ II
1061,,"AVENIDA H CJ CEARA, 1476 A",,-3.77595,-38.611242,,,0,,,,POINT (-38.611242 -3.77595),47.0,CONJUNTO CEARÁ II
1062,,"AVENIDA 343 A CJ CEARA, 1456",,-3.775941,-38.611194,,,0,,,,POINT (-38.611194 -3.775941),47.0,CONJUNTO CEARÁ II
1063,,"RUA BARRA VERMELHA, 2362 A",,-3.77774,-38.611989,,,0,,,,POINT (-38.611989 -3.77774),91.0,GRANJA LISBOA
1069,,"RUA IRACEMA, 930",,-3.845492,-38.528994,,,0,,,,POINT (-38.528994 -3.845492),55.0,CONJUNTO PALMEIRAS
107,,"RUA BENU MARCONDES, 421",,-3.712199,-38.597806,,,0,,,,POINT (-38.597806 -3.712199),86.0,VILA VELHA
1070,,"RUA ANGELA DINIZ, 930",,-3.845384,-38.528904,,,0,,,,POINT (-38.528904 -3.845384),55.0,CONJUNTO PALMEIRAS
1077,,"AVENIDA EDILSON B SOARES, 1471",,-3.788761,-38.472513,,,0,,,,POINT (-38.472513 -3.788761),27.0,EDSON QUEIROZ
1079,,"AVENIDA WASHINGTON SOARES, 3840",,-3.789997,-38.48055,,,0,,,,POINT (-38.48055 -3.789997),3.0,PARQUE MANIBURA
1080,,"AVENIDA WASHINGTON SOARES, 3340",,-3.787602,-38.480602,,,0,,,,POINT (-38.480602 -3.787602),27.0,EDSON QUEIROZ
1082,,"AVENIDA WASHINGTON SOARES, SN",,-3.785908,-38.480994,,,0,,,,POINT (-38.480994 -3.785908),76.0,ENGENHEIRO LUCIANO CAVALCANTE
1083,,"AVENIDA WASHINGTON SOARES, SN",,-3.7826,-38.481153,,,0,,,,POINT (-38.481153 -3.7826),76.0,ENGENHEIRO LUCIANO CAVALCANTE
