id,city.address,city.neighborhood,city.lat,city.lon,google.lat,google.lon,city_google.distance
10,"AVENIDA CEL CARVALHO, 1135",BARRA DO CEARÁ,-3.702286,-38.590602,-3.70232675,-38.590538,4.212029
1000,"RUA DOR JOAO MOREIRA, 489",CENTRO,-3.722157,-38.528991,-3.7221847,-38.52899735,1.579832
1001,"RUA DOR JOAO MOREIRA, 163",CENTRO,-3.723169,-38.526007,-3.72318095,-38.52601365,0.759956
1010,"AVENIDA IMPERADOR, 550",CENTRO,-3.726137,-38.534206,-3.72613885,-38.53421405,0.458304
1013,"AVENIDA IMPERADOR, 262",CENTRO,-3.72369,-38.533477,-3.7238883,-38.5335336,11.463455
1014,"RUA SAO PAULO, 955",CENTRO,-3.723879,-38.534034,-3.7238723,-38.5340276,0.514621
1015,"RUA GUILHERME ROCHA, 1048",CENTRO,-3.724543,-38.535467,-3.72453025,-38.53546665,0.709134
102,"RUA BETA, 202",VILA VELHA,-3.71436,-38.600778,-3.7143776,-38.60078705,1.099817
1025,"RUA CASTRO E SILVA, 409",CENTRO,-3.723266,-38.529181,-3.72334885,-38.52904965,8.621048
1029,"AVENIDA TRISTAO GONCALVES, 211",CENTRO,-3.723792,-38.532204,-3.7237893,-38.53220245,0.173
103,"RUA DOR QUIXADA FELICIO, 441",VILA VELHA,-3.709547,-38.597229,-3.7095658,-38.5972337,1.077268
1030,"RUA CASTRO E SILVA, 181",CENTRO,-3.723972,-38.527042,-3.7240352,-38.5269585,5.81441
1032,"RUA CASTRO E SILVA, 38",CENTRO,-3.724408,-38.525696,-3.7244344,-38.52570895,1.634182
1033,"RUA SENA MADUREIRA, 761",CENTRO,-3.725933,-38.525604,-3.72591735,-38.5256293,1.65145
1037,"RUA DES GEMINIANO JUREMA, 85",PRAIA DO FUTURO II,-3.768659,-38.438854,-3.768616,-38.4388406,2.503605
1038,"RUA MIRTES CORDEIRO, 3720",GRANJA LISBOA,-3.781905,-38.622155,-3.78193145,-38.62216895,1.661758
1043,"AVENIDA H CJ CEARA, 3437",CONJUNTO CEARÁ II,-3.77688,-38.620167,-3.7769032,-38.62016735,1.290007
1044,"AVENIDA H CJ CEARA, 3439",CONJUNTO CEARÁ II,-3.776907,-38.620458,-3.7769032,-38.62016735,16.12569
1045,"AVENIDA J CJ CEARA, 291",CONJUNTO CEARÁ II,-3.776393,-38.621114,-3.7763205,-38.6211179,4.036619
1046,"AVENIDA J CJ CEARA, 1015",CONJUNTO CEARÁ II,-3.776785,-38.621323,0.0,0.0,0.0
1047,"AVENIDA J CJ CEARA, 1015",CONJUNTO CEARÁ II,-3.775592,-38.62069,-3.77517275,-38.62053415,24.861112
1048,"AVENIDA J CJ CEARA, 2898",CONJUNTO CEARÁ II,-3.773589,-38.619656,-3.77356415,-38.61970145,2.875135
1049,"AVENIDA H CJ CEARA, 2285",CONJUNTO CEARÁ II,-3.776681,-38.6181,-3.77669485,-38.6180986,0.773932
1050,"AVENIDA H CJ CEARA, 2280 B",CONJUNTO CEARÁ II,-3.776688,-38.618163,-3.77669485,-38.6180986,3.592942
1052,"AVENIDA H CJ CEARA, 1991 A",CONJUNTO CEARÁ II,-3.776489,-38.616184,-3.7762913,-38.61638285,15.572758
1053,"AVENIDA H CJ CEARA, 1992",CONJUNTO CEARÁ II,-3.776471,-38.616026,-3.7765565,-38.6160314,4.763013
1054,"AVENIDA C CJ CEARA, 2104",CONJUNTO CEARÁ II,-3.776336,-38.616402,-3.7762913,-38.61638285,2.702758
1055,"AVENIDA C CJ CEARA, 1799",CONJUNTO CEARÁ II,-3.774291,-38.615799,-3.7740765,-38.6158086,11.937542
1056,"AVENIDA C CJ CEARA, 1799",CONJUNTO CEARÁ II,-3.774166,-38.615762,-3.7740765,-38.6158086,5.607467
1057,"AVENIDA H CJ CEARA, 1802",CONJUNTO CEARÁ II,-3.776331,-38.614678,-3.77630315,-38.61458695,5.283153
1058,"AVENIDA SOUSA CARVALHO, 3619",CONJUNTO CEARÁ II,-3.776277,-38.614124,-3.77636665,-38.61415245,5.228235
106,"RUA BENU MARCONDES, 600",VILA VELHA,-3.711873,-38.599268,-3.7118972,-38.5994023,7.571578
1060,"AVENIDA H CJ CEARA, 1610",CONJUNTO CEARÁ II,-3.776121,-38.612759,-3.77612405,-38.61278565,1.488149
1061,"AVENIDA H CJ CEARA, 1476 A",CONJUNTO CEARÁ II,-3.77595,-38.611242,-3.77602665,-38.6111958,4.972914
1062,"AVENIDA 343 A CJ CEARA, 1456",CONJUNTO CEARÁ II,-3.775941,-38.611194,-3.77602665,-38.6111958,4.76297
1063,"RUA BARRA VERMELHA, 2362 A",GRANJA LISBOA,-3.77774,-38.611989,-3.77774405,-38.61197495,0.811319
1069,"RUA IRACEMA, 930",CONJUNTO PALMEIRAS,-3.845492,-38.528994,-3.8454013,-38.5288749,8.311309
107,"RUA BENU MARCONDES, 421",VILA VELHA,-3.712199,-38.597806,-3.71218175,-38.59756715,13.286252
1070,"RUA ANGELA DINIZ, 930",CONJUNTO PALMEIRAS,-3.845384,-38.528904,-3.8454013,-38.5288749,1.879072
1077,"AVENIDA EDILSON B SOARES, 1471",EDSON QUEIROZ,-3.788761,-38.472513,0.0,0.0,0.0
1079,"AVENIDA WASHINGTON SOARES, 3840",PARQUE MANIBURA,-3.789997,-38.48055,-3.79007525,-38.48054665,4.354469
1080,"AVENIDA WASHINGTON SOARES, 3340",EDSON QUEIROZ,-3.787602,-38.480602,-3.78759985,-38.4805979,0.256949
1082,"AVENIDA WASHINGTON SOARES, SN",ENGENHEIRO LUCIANO CAVALCANTE,-3.785908,-38.480994,-3.7859098,-38.48098715,0.392968
1083,"AVENIDA WASHINGTON SOARES, SN",ENGENHEIRO LUCIANO CAVALCANTE,-3.7826,-38.481153,-3.7825308,-38.48102905,7.879433
1084,"AVENIDA WASHINGTON SOARES, SN",ENGENHEIRO LUCIANO CAVALCANTE,-3.782528,-38.481016,-3.7825308,-38.48102905,0.740514
1085,"RUA ESTRADA DA URUCUTUBA, 2181",GRANJA LISBOA,-3.798755,-38.616675,-3.7987923,-38.61667425,2.074203
1086,"RUA ESTRADA DA URUCUTUBA, 2191",SIQUEIRA,-3.79883,-38.616669,-3.79882,-38.6166714,0.571694
1087,"RUA NS 02 RES BOM JARDIM, 163",GRANJA LISBOA,-3.798528,-38.617369,-3.7985242,-38.61734775,1.197633
1089,"ESTRADA DA URUCUTUBA, 1956",SIQUEIRA,-3.798536,-38.614211,-3.79857475,-38.6142041,2.188142
1090,"ESTRADA DA URUCUTUBA, 1966",GRANJA LISBOA,-3.798441,-38.614158,-3.79857475,-38.6142041,7.863641
1091,"ESTRADA DA URUCUTUBA, 1758",GRANJA LISBOA,-3.798107,-38.612021,-3.7981927,-38.61219145,10.588392
1092,"ESTRADA DA URUCUTUBA, 1795",SIQUEIRA,-3.798204,-38.612187,-3.7981927,-38.61219145,0.675013
1093,"RUA BARRA MANSA, 342",GRANJA LISBOA,-3.79565,-38.611507,-3.7956742,-38.61151775,1.471702
1094,"RUA BARRA MANSA, 638",GRANJA LISBOA,-3.794767,-38.614231,-3.79478375,-38.6142345,0.951284
1095,"RUA FRANCISCO PAIVA, 1032",GRANJA LISBOA,-3.791265,-38.614406,-3.79126335,-38.61439875,0.412529
1096,"RUA FRANCISCO PAIVA, 1034",GRANJA LISBOA,-3.791007,-38.614329,-3.79126335,-38.61439875,14.768335
1097,"RUA FRANCISCO PAIVA, 1326",GRANJA LISBOA,-3.793495,-38.615116,-3.7934989,-38.61512355,0.471639
1098,"RUA FRANCISCO PAIVA, 1430",GRANJA LISBOA,-3.794798,-38.615538,-3.7948016,-38.6155345,0.278855
1099,"ESTRADA DA URUCUTUBA, SN",GRANJA LISBOA,-3.799186,-38.619215,-3.79921245,-38.6192063,1.547728
11,"AVENIDA CEL CARVALHO, 116",VILA VELHA,-3.703397,-38.591645,-3.70341055,-38.5916688,1.520242
1100,"AVENIDA WASHINGTON SOARES, SN",SAPIRANGA / COITÉ,-3.791062,-38.480304,-3.79104835,-38.48020475,5.558029
1101,"AVENIDA WASHINGTON SOARES, S/N",SAPIRANGA / COITÉ,-3.794761,-38.479932,-3.7951479,-38.4798873,21.653121
1104,"AVENIDA ENG LEAL LIMA VERDE, 565",SAPIRANGA / COITÉ,-3.793306,-38.475911,-3.79331025,-38.4759127,0.254414
1105,"AVENIDA GOMES DE FREITAS, 2985",SAPIRANGA / COITÉ,-3.79549,-38.47757,-3.7955011,-38.4775687,0.621331
1106,"RUA CEL OLEGARIO MEMORIA, 1602",SAPIRANGA / COITÉ,-3.791412,-38.47389,-3.79138595,-38.47396735,4.528878
1107,"AVENIDA SAPIRANGA, 465",SAPIRANGA / COITÉ,-3.791415,-38.47106,-3.79141775,-38.4710367,1.301597
1108,"RUA EUCLIDES O DE SOUSA, 935",SAPIRANGA / COITÉ,-3.797549,-38.471963,-3.79757085,-38.4719581,1.244846
1109,"RUA EUCLIDES O DE SOUSA, 880",SAPIRANGA / COITÉ,-3.79769,-38.473567,-3.7977213,-38.4735662,1.740766
